id,descripcion
IFI0402,"Este curso aborda el estudio integral de los transductores utilizados para medir y manipular variables físicas. Se analizan los conceptos fundamentales relacionados con señales, modelos, sensores, actuadores y su clasificación, así como las características estáticas, dinámicas, eléctricas y de fabricación que determinan el funcionamiento y desempeño de los transductores.
Se estudian los principios de operación y aplicaciones de transductores térmicos, ópticos, eléctricos, magnéticos, mecánicos, acústicos, químicos, de radiación y dispositivos MEMS modernos. Además, se examinan las interfaces necesarias para su integración en sistemas de instrumentación, tales como acondicionamiento de señales, amplificación, conversión analógica-digital y transmisión de datos. Las experiencias prácticas permiten al estudiantado desarrollar habilidades aplicadas para la evaluación, selección e implementación de transductores en sistemas reales.
Para desempeñarse adecuadamente en este curso, los estudiantes deben poner en práctica lo aprendido en los cursos de: Circuitos eléctricos en CC y CA, y Laboratorio de circuitos eléctricos en CC y CA.
Una vez aprobado este curso, los estudiantes podrán emplear algunos de los aprendizajes adquiridos en los cursos de: Instrumentación II.
"
IFI0503,"Este curso aborda la implementación de sistemas de instrumentación precisos y confiables mediante la integración de transductores, sistemas de adquisición de datos e instrumentos virtuales. Se estudian los fundamentos del acondicionamiento de señales, la digitalización mediante muestreo, cuantización y codificación, así como la reconstrucción analógica mediante conversión D/A y filtrado. También se analizan las arquitecturas de los sistemas de adquisición y su interfaz con transductores y microcontroladores.
El curso desarrolla competencias en el diseño e implementación de instrumentos virtuales para la automatización de la adquisición, procesamiento, visualización y control de señales. Esto incluye estructuras de ejecución, máquinas de estados, creación de interfaces gráficas, comunicación serial y USB, control de instrumentos externos y manejo de archivos. Finalmente, se integran principios de metrología como calibración, trazabilidad, verificación, validación y propagación de incertidumbres para evaluar el desempeño de sistemas de medición.
Para desempeñarse adecuadamente en este curso, los estudiantes deben poner en práctica lo aprendido en el curso de: Instrumentación I.
Una vez aprobado este curso, los estudiantes podrán emplear algunos de los aprendizajes adquiridos en los cursos de: Física Experimental.
"
